               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1096,            0.033038,            0.046794,           0.0043201,             0.60397,            0.045445,           0.0094508,            0.082163,            0.021569,            0.045776,              0.0838,              0.0018,              0.0018
                   1,            0.078209,            0.035053,            0.044474,              0.2395,             0.39663,             0.24395,            0.075208,            0.067228,             0.01685,            0.042151,            0.066627,           0.0036267,           0.0036267
                   2,            0.064689,              0.0299,            0.040643,            0.074387,             0.58849,             0.11343,            0.032761,            0.072337,            0.012555,            0.040326,            0.049378,           0.0053782,           0.0053782
                   3,            0.059625,            0.026226,            0.037244,             0.14332,             0.49643,             0.18095,            0.052862,             0.07362,            0.010215,             0.03642,            0.032054,           0.0070545,           0.0070545
                   4,            0.059229,            0.025493,            0.032746,             0.14626,             0.51189,             0.20744,            0.069862,             0.07081,            0.009716,            0.028342,            0.014656,           0.0086555,           0.0086555
                   5,            0.059607,            0.021911,            0.028606,             0.63851,             0.35428,              0.4327,             0.19705,            0.063991,           0.0091448,            0.021675,             0.00901,             0.00901,             0.00901
                   6,            0.058182,            0.022381,            0.023628,             0.57263,             0.61011,             0.61551,             0.18587,            0.063491,            0.008481,            0.014371,             0.00901,             0.00901,             0.00901
                   7,            0.054781,            0.017797,            0.018065,             0.38878,             0.70754,             0.57753,             0.18692,            0.064546,           0.0080795,            0.011606,            0.008812,            0.008812,            0.008812
                   8,            0.052749,            0.019206,            0.013711,             0.45839,             0.90543,             0.68901,             0.30158,            0.059351,           0.0086756,             0.00765,            0.008614,            0.008614,            0.008614
                   9,            0.048494,            0.018142,            0.011787,              0.5786,              0.9371,             0.83038,             0.33965,            0.048329,           0.0077114,           0.0061592,            0.008416,            0.008416,            0.008416
                  10,            0.044396,            0.015673,           0.0093221,             0.45563,             0.77857,             0.56264,             0.16178,             0.06079,           0.0082755,           0.0057617,            0.008218,            0.008218,            0.008218
